ts,idx,run,depth,label,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-09T23:30:07-03:00,7,1,196608,192K,q8_0,q8_0,0, 66, 24564, 60, 49.48
2026-05-09T23:30:12-03:00,7,1,196608,192K,q8_0,q8_0,11, 16432, 24564, 60, 76.58
2026-05-09T23:30:17-03:00,7,1,196608,192K,q8_0,q8_0,100, 23846, 24564, 74, 447.71
2026-05-09T23:30:23-03:00,7,1,196608,192K,q8_0,q8_0,100, 23900, 24564, 76, 449.78
2026-05-09T23:30:28-03:00,7,1,196608,192K,q8_0,q8_0,100, 23948, 24564, 76, 449.20
2026-05-09T23:30:33-03:00,7,1,196608,192K,q8_0,q8_0,100, 23994, 24564, 76, 449.21
2026-05-09T23:30:38-03:00,7,1,196608,192K,q8_0,q8_0,99, 24034, 24564, 76, 448.97
2026-05-09T23:30:44-03:00,7,1,196608,192K,q8_0,q8_0,100, 24072, 24564, 77, 447.87
2026-05-09T23:30:49-03:00,7,1,196608,192K,q8_0,q8_0,100, 24110, 24564, 77, 447.96
2026-05-09T23:30:54-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 69, 246.27
2026-05-09T23:30:59-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 65, 188.81
2026-05-09T23:31:05-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 63, 169.18
2026-05-09T23:31:10-03:00,7,1,196608,192K,q8_0,q8_0,99, 24122, 24564, 63, 156.49
2026-05-09T23:31:15-03:00,7,1,196608,192K,q8_0,q8_0,99, 24122, 24564, 62, 154.00
2026-05-09T23:31:20-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 65, 147.41
2026-05-09T23:31:26-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 60, 146.24
2026-05-09T23:31:31-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 61, 139.82
2026-05-09T23:31:36-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 63, 140.00
2026-05-09T23:31:41-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 58, 135.22
2026-05-09T23:31:47-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 60, 133.30
2026-05-09T23:31:52-03:00,7,1,196608,192K,q8_0,q8_0,100, 24122, 24564, 57, 133.12
2026-05-09T23:31:57-03:00,7,1,196608,192K,q8_0,q8_0,99, 24122, 24564, 58, 136.13
