ts,idx,run,depth,label,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-09T23:37:38-03:00,9,1,196608,192K,turbo4,turbo4,0, 66, 24564, 59, 46.11
2026-05-09T23:37:43-03:00,9,1,196608,192K,turbo4,turbo4,11, 16432, 24564, 58, 73.73
2026-05-09T23:37:48-03:00,9,1,196608,192K,turbo4,turbo4,100, 22212, 24564, 72, 447.52
2026-05-09T23:37:54-03:00,9,1,196608,192K,turbo4,turbo4,100, 22266, 24564, 74, 448.83
2026-05-09T23:37:59-03:00,9,1,196608,192K,turbo4,turbo4,100, 22314, 24564, 74, 448.49
2026-05-09T23:38:04-03:00,9,1,196608,192K,turbo4,turbo4,100, 22358, 24564, 74, 448.62
2026-05-09T23:38:09-03:00,9,1,196608,192K,turbo4,turbo4,100, 22400, 24564, 75, 448.30
2026-05-09T23:38:15-03:00,9,1,196608,192K,turbo4,turbo4,100, 22438, 24564, 76, 448.23
2026-05-09T23:38:20-03:00,9,1,196608,192K,turbo4,turbo4,100, 22474, 24564, 76, 449.92
2026-05-09T23:38:25-03:00,9,1,196608,192K,turbo4,turbo4,100, 22510, 24564, 76, 446.06
2026-05-09T23:38:30-03:00,9,1,196608,192K,turbo4,turbo4,100, 22542, 24564, 76, 448.96
2026-05-09T23:38:36-03:00,9,1,196608,192K,turbo4,turbo4,100, 22574, 24564, 77, 450.04
2026-05-09T23:38:41-03:00,9,1,196608,192K,turbo4,turbo4,100, 22604, 24564, 75, 444.82
2026-05-09T23:38:46-03:00,9,1,196608,192K,turbo4,turbo4,100, 22634, 24564, 77, 447.69
2026-05-09T23:38:51-03:00,9,1,196608,192K,turbo4,turbo4,100, 22662, 24564, 77, 451.37
2026-05-09T23:38:57-03:00,9,1,196608,192K,turbo4,turbo4,100, 22688, 24564, 77, 447.61
2026-05-09T23:39:02-03:00,9,1,196608,192K,turbo4,turbo4,100, 22716, 24564, 77, 446.36
2026-05-09T23:39:07-03:00,9,1,196608,192K,turbo4,turbo4,100, 22742, 24564, 77, 445.61
2026-05-09T23:39:12-03:00,9,1,196608,192K,turbo4,turbo4,100, 22766, 24564, 77, 449.39
2026-05-09T23:39:18-03:00,9,1,196608,192K,turbo4,turbo4,100, 22792, 24564, 77, 444.53
2026-05-09T23:39:23-03:00,9,1,196608,192K,turbo4,turbo4,100, 22814, 24564, 77, 449.47
2026-05-09T23:39:28-03:00,9,1,196608,192K,turbo4,turbo4,100, 22838, 24564, 77, 443.99
2026-05-09T23:39:33-03:00,9,1,196608,192K,turbo4,turbo4,98, 22862, 24564, 77, 443.94
2026-05-09T23:39:39-03:00,9,1,196608,192K,turbo4,turbo4,100, 22884, 24564, 78, 447.83
2026-05-09T23:39:44-03:00,9,1,196608,192K,turbo4,turbo4,100, 22906, 24564, 76, 438.03
2026-05-09T23:39:49-03:00,9,1,196608,192K,turbo4,turbo4,100, 22928, 24564, 77, 448.96
2026-05-09T23:39:55-03:00,9,1,196608,192K,turbo4,turbo4,63, 22164, 24564, 65, 128.29
