ts,idx,run,depth,label,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T00:01:09-03:00,20,3,131072,128K,q8_0,turbo4,0, 66, 24564, 60, 48.17
2026-05-10T00:01:14-03:00,20,3,131072,128K,q8_0,turbo4,11, 16432, 24564, 59, 76.14
2026-05-10T00:01:19-03:00,20,3,131072,128K,q8_0,turbo4,100, 20442, 24564, 74, 447.54
2026-05-10T00:01:25-03:00,20,3,131072,128K,q8_0,turbo4,99, 20496, 24564, 75, 448.55
2026-05-10T00:01:30-03:00,20,3,131072,128K,q8_0,turbo4,100, 20544, 24564, 75, 448.09
2026-05-10T00:01:35-03:00,20,3,131072,128K,q8_0,turbo4,100, 20588, 24564, 75, 449.13
2026-05-10T00:01:41-03:00,20,3,131072,128K,q8_0,turbo4,100, 20628, 24564, 76, 448.81
2026-05-10T00:01:46-03:00,20,3,131072,128K,q8_0,turbo4,100, 20668, 24564, 76, 448.33
2026-05-10T00:01:51-03:00,20,3,131072,128K,q8_0,turbo4,100, 20704, 24564, 76, 450.48
2026-05-10T00:01:56-03:00,20,3,131072,128K,q8_0,turbo4,100, 20738, 24564, 77, 449.06
2026-05-10T00:02:02-03:00,20,3,131072,128K,q8_0,turbo4,100, 20772, 24564, 76, 449.73
2026-05-10T00:02:07-03:00,20,3,131072,128K,q8_0,turbo4,99, 20802, 24564, 72, 444.89
2026-05-10T00:02:12-03:00,20,3,131072,128K,q8_0,turbo4,100, 20834, 24564, 77, 447.87
2026-05-10T00:02:17-03:00,20,3,131072,128K,q8_0,turbo4,100, 20862, 24564, 77, 448.24
2026-05-10T00:02:23-03:00,20,3,131072,128K,q8_0,turbo4,100, 20890, 24564, 77, 447.22
2026-05-10T00:02:28-03:00,20,3,131072,128K,q8_0,turbo4,0, 20914, 24564, 66, 345.22
