[2026-05-20T19:14:31.681Z] REALRAG_R3B_START model=local-vllm endpoint=http://192.168.15.133:11435/v1/chat/completions limit=2000 conditions=bm25_top10,bge_rerank_top10,oracle_first,no_support
[2026-05-20T19:14:32.169Z] rerank_scores_loaded path=/home/aya/implante/research/turboquant-cuda-bench/bench/evidence-utilization-realrag-2wiki-r3g-natural-retrieval-2026-05-20/bge-rerank-scores.json selected=2000
[2026-05-20T19:14:32.211Z] selected_questions=2000 tasks=8000 pending=8000 already_done=0
[2026-05-20T19:14:44.266Z] progress completed=100/8000 last=215f53a00bde11eba7f7acde48001122/oracle_first closure=1
[2026-05-20T19:14:58.692Z] progress completed=200/8000 last=ddb04f2608c011ebbd8aac1f6bf848b6/no_support closure=0
[2026-05-20T19:15:13.682Z] progress completed=300/8000 last=8729520c0bda11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:15:26.975Z] progress completed=400/8000 last=9704513d099f11ebbdb0ac1f6bf848b6/oracle_first closure=1
[2026-05-20T19:15:40.246Z] progress completed=500/8000 last=dc69969e0bdc11eba7f7acde48001122/oracle_first closure=1
[2026-05-20T19:15:53.085Z] progress completed=600/8000 last=6854217908a011ebbd78ac1f6bf848b6/no_support closure=0
[2026-05-20T19:16:08.454Z] progress completed=700/8000 last=1c6592420bde11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:16:22.613Z] progress completed=800/8000 last=b3bab9fa0bda11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:16:35.386Z] progress completed=900/8000 last=7620acb80bde11eba7f7acde48001122/oracle_first closure=1
[2026-05-20T19:16:48.824Z] progress completed=1000/8000 last=fd848f860bdd11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:17:05.754Z] progress completed=1100/8000 last=2cb1fed1094311ebbdaeac1f6bf848b6/oracle_first closure=1
[2026-05-20T19:17:19.444Z] progress completed=1200/8000 last=2903728e085b11ebbd5cac1f6bf848b6/oracle_first closure=0
[2026-05-20T19:17:34.470Z] progress completed=1300/8000 last=dcfa685e089411ebbd75ac1f6bf848b6/no_support closure=0
[2026-05-20T19:17:46.666Z] progress completed=1400/8000 last=654677920bd911eba7f7acde48001122/no_support closure=0
