[2026-05-20T02:23:06.286Z] REALRAG_R1_START model=local-vllm endpoint=http://192.168.15.133:11435/v1/chat/completions limit=2000 concurrency=2
[2026-05-20T02:23:06.882Z] dataset_loaded records=7405 sha256=4e9ecb5c8d3b719f624d66b60f8d56bf227f03914f5f0753d6fa1b359d7104ea
[2026-05-20T02:23:06.910Z] selected_questions=1991 tasks=9955 pending=9955 already_done=0
[2026-05-20T02:23:11.855Z] progress completed=50/9955 last=5ae446825542995ad6573d21/oracle_first closure=1
[2026-05-20T02:23:21.228Z] progress completed=100/9955 last=5a7c827e55429907fabeefa7/no_support closure=0
[2026-05-20T02:23:29.776Z] progress completed=150/9955 last=5a8d7edc55429941ae14dfdc/no_support closure=0
[2026-05-20T02:23:38.350Z] progress completed=200/9955 last=5a7cf59b55429909bec768c7/no_support closure=0
[2026-05-20T02:23:47.637Z] progress completed=250/9955 last=5a8cee9b554299441c6b9f87/no_support closure=0
[2026-05-20T02:23:55.978Z] progress completed=300/9955 last=5aba67c255429955dce3ee10/distractor_first closure=1
[2026-05-20T02:24:05.356Z] progress completed=350/9955 last=5a7a11c85542996a35c170b4/no_support closure=0
[2026-05-20T02:24:14.457Z] progress completed=400/9955 last=5a7aa0a55542990198eaf165/no_support closure=0
[2026-05-20T02:24:22.336Z] progress completed=450/9955 last=5ab72d925542993667793f6e/no_support closure=0
[2026-05-20T02:24:30.149Z] progress completed=500/9955 last=5ac3a364554299391541385d/no_support closure=0
[2026-05-20T02:24:38.576Z] progress completed=550/9955 last=5ab3b2c4554299233954ff8a/no_support closure=0
[2026-05-20T02:24:47.270Z] progress completed=600/9955 last=5ac2381355429951e9e684a9/distractor_first closure=0
[2026-05-20T02:24:57.419Z] progress completed=650/9955 last=5a7b895c5542997c3ec97206/no_support closure=0
[2026-05-20T02:25:06.352Z] progress completed=700/9955 last=5a8d0efd5542994ba4e3dbc6/no_support closure=0
[2026-05-20T02:25:15.074Z] progress completed=750/9955 last=5ae78d155542994a481bbd99/no_support closure=0
[2026-05-20T02:25:23.604Z] progress completed=800/9955 last=5ab3c05d55429969a97a81aa/oracle_first closure=0
[2026-05-20T02:25:31.688Z] progress completed=850/9955 last=5ac2cb09554299657fa29066/no_support closure=0
[2026-05-20T02:25:40.371Z] progress completed=900/9955 last=5abce2fc5542993a06baf994/no_support closure=0
[2026-05-20T02:25:48.097Z] progress completed=950/9955 last=5a8b8b3a5542995d1e6f13e5/no_support closure=0
[2026-05-20T02:25:55.940Z] progress completed=1000/9955 last=5add64065542995b365fab25/no_support closure=0
[2026-05-20T02:26:04.845Z] progress completed=1050/9955 last=5ab7e3c45542995dae37e9db/no_support closure=0
[2026-05-20T02:26:13.961Z] progress completed=1100/9955 last=5a875b755542996e4f308796/distractor_first closure=0
[2026-05-20T02:26:22.687Z] progress completed=1150/9955 last=5a7af4bb55429927d897bf1d/distractor_first closure=0
[2026-05-20T02:26:31.204Z] progress completed=1200/9955 last=5abd64cb55429933744ab7ad/no_support closure=0
[2026-05-20T02:26:39.219Z] progress completed=1250/9955 last=5a89d8d055429946c8d6e9df/no_support closure=0
[2026-05-20T02:26:46.904Z] progress completed=1300/9955 last=5a75f7db5542994ccc918670/no_support closure=0
[2026-05-20T02:26:56.788Z] progress completed=1350/9955 last=5a7e1a5455429965cec5ea5f/no_support closure=0
[2026-05-20T02:27:05.954Z] progress completed=1400/9955 last=5abe535055429976d4830aea/distractor_first closure=0
[2026-05-20T02:27:15.300Z] progress completed=1450/9955 last=5ae4957155429970de88d9bc/no_support closure=0
[2026-05-20T02:27:24.813Z] progress completed=1500/9955 last=5a87572d5542994846c1cd6b/distractor_first closure=0
[2026-05-20T02:27:32.849Z] progress completed=1550/9955 last=5ab5895f554299637185c5c2/no_support closure=0
[2026-05-20T02:27:41.597Z] progress completed=1600/9955 last=5ab8284d5542990e739ec83f/no_support closure=0
[2026-05-20T02:27:50.199Z] progress completed=1650/9955 last=5a7c465a5542990527d5547f/no_support closure=0
[2026-05-20T02:27:58.999Z] progress completed=1700/9955 last=5a87c19a5542994846c1cde6/no_support closure=0
[2026-05-20T02:28:07.895Z] progress completed=1750/9955 last=5a87106555429960ec39b71f/no_support closure=0
[2026-05-20T02:28:16.372Z] progress completed=1800/9955 last=5a807f6a5542992bc0c4a737/no_support closure=1
[2026-05-20T02:28:24.904Z] progress completed=1850/9955 last=5a721b9055429971e9dc9277/no_support closure=0
[2026-05-20T02:28:32.728Z] progress completed=1900/9955 last=5ac10c5e554299294b219074/no_support closure=1
[2026-05-20T02:28:41.426Z] progress completed=1950/9955 last=5a8f75e6554299458435d635/no_support closure=0
[2026-05-20T02:28:51.087Z] progress completed=2000/9955 last=5ac508205542994611c8b32e/no_support closure=0
[2026-05-20T02:28:59.934Z] progress completed=2050/9955 last=5ac3a2f35542993915413856/no_support closure=0
[2026-05-20T02:29:08.409Z] progress completed=2100/9955 last=5ab82d345542990e739ec854/no_support closure=0
[2026-05-20T02:29:17.209Z] progress completed=2150/9955 last=5ae3dcc05542991a06ce9a33/no_support closure=0
