[2026-05-19T23:54:25-03:00] launching RealRAG HotpotQA R1 FULL dev run
[2026-05-20T02:54:25.523Z] REALRAG_R1_START model=local-vllm endpoint=http://192.168.15.133:11435/v1/chat/completions limit=7405 concurrency=2
[2026-05-20T02:54:26.149Z] dataset_loaded records=7405 sha256=4e9ecb5c8d3b719f624d66b60f8d56bf227f03914f5f0753d6fa1b359d7104ea
[2026-05-20T02:54:26.269Z] selected_questions=7384 tasks=36920 pending=36920 already_done=0
[2026-05-20T02:54:44.350Z] progress completed=100/36920 last=5a7c827e55429907fabeefa7/no_support closure=0
[2026-05-20T02:55:02.915Z] progress completed=200/36920 last=5a7cf59b55429909bec768c7/no_support closure=0
[2026-05-20T02:55:21.101Z] progress completed=300/36920 last=5aba67c255429955dce3ee10/no_support closure=0
[2026-05-20T02:55:38.737Z] progress completed=400/36920 last=5a7aa0a55542990198eaf165/no_support closure=0
[2026-05-20T02:55:54.757Z] progress completed=500/36920 last=5ac3a364554299391541385d/no_support closure=0
[2026-05-20T02:56:12.312Z] progress completed=600/36920 last=5ac2381355429951e9e684a9/distractor_first closure=0
[2026-05-20T02:56:29.799Z] progress completed=700/36920 last=5ae72ab25542991e8301cb77/oracle_first closure=0
[2026-05-20T02:56:46.241Z] progress completed=800/36920 last=5ae658855542992ae0d162e3/no_support closure=0
[2026-05-20T02:57:04.479Z] progress completed=900/36920 last=5abce2fc5542993a06baf994/no_support closure=0
[2026-05-20T02:57:20.722Z] progress completed=1000/36920 last=5add64065542995b365fab25/no_support closure=0
[2026-05-20T02:57:37.859Z] progress completed=1100/36920 last=5a875b755542996e4f308796/distractor_first closure=0
[2026-05-20T02:57:56.509Z] progress completed=1200/36920 last=5abd64cb55429933744ab7ad/no_support closure=0
[2026-05-20T02:58:13.841Z] progress completed=1300/36920 last=5a75f7db5542994ccc918670/no_support closure=0
[2026-05-20T02:58:30.798Z] progress completed=1400/36920 last=5abe535055429976d4830aea/distractor_first closure=0
[2026-05-20T02:58:48.691Z] progress completed=1500/36920 last=5a87572d5542994846c1cd6b/distractor_first closure=0
[2026-05-20T02:59:06.863Z] progress completed=1600/36920 last=5ab8284d5542990e739ec83f/no_support closure=1
[2026-05-20T02:59:23.475Z] progress completed=1700/36920 last=5a87c19a5542994846c1cde6/no_support closure=0
[2026-05-20T02:59:39.266Z] progress completed=1800/36920 last=5a807f6a5542992bc0c4a737/no_support closure=1
[2026-05-20T02:59:56.112Z] progress completed=1900/36920 last=5ac10c5e554299294b219074/no_support closure=1
