[2026-05-20T08:06:09-03:00] launching RealRAG HotpotQA R2 rank curve full run
[2026-05-20T11:06:09.620Z] REALRAG_R2_START model=local-vllm endpoint=http://192.168.15.133:11435/v1/chat/completions limit=7405 concurrency=2
[2026-05-20T11:06:10.266Z] dataset_loaded records=7405 sha256=4e9ecb5c8d3b719f624d66b60f8d56bf227f03914f5f0753d6fa1b359d7104ea
[2026-05-20T11:06:10.373Z] selected_questions=7384 tasks=44304 pending=44304 already_done=0
[2026-05-20T11:06:20.841Z] progress completed=100/44304 last=5ac29a835542990b17b1542f/rank_8 closure=0
[2026-05-20T11:06:34.546Z] progress completed=200/44304 last=5a8c66db554299585d9e3683/rank_3 closure=1
[2026-05-20T11:06:49.950Z] progress completed=300/44304 last=5a8cee9b554299441c6b9f87/no_support closure=0
[2026-05-20T11:07:05.140Z] progress completed=400/44304 last=5a859a755542992a431d1b6d/rank_8 closure=0
[2026-05-20T11:07:20.430Z] progress completed=500/44304 last=5ac048ea554299294b218f74/rank_3 closure=1
[2026-05-20T11:07:33.597Z] progress completed=600/44304 last=5ac3a364554299391541385d/no_support closure=0
[2026-05-20T11:07:47.998Z] progress completed=700/44304 last=5ab442645542991751b4d70c/rank_8 closure=0
[2026-05-20T11:08:03.999Z] progress completed=800/44304 last=5abe65e25542993f32c2a101/rank_3 closure=1
[2026-05-20T11:08:17.764Z] progress completed=900/44304 last=5ae78d155542994a481bbd99/rank_last closure=1
[2026-05-20T11:08:31.128Z] progress completed=1000/44304 last=5a90970d5542995651fb51a5/rank_8 closure=0
[2026-05-20T11:08:44.791Z] progress completed=1100/44304 last=5a8b448255429971feec468c/rank_3 closure=0
[2026-05-20T11:08:58.441Z] progress completed=1200/44304 last=5add64065542995b365fab25/no_support closure=0
[2026-05-20T11:09:14.222Z] progress completed=1300/44304 last=5ac3ac8255429939154138ad/rank_8 closure=0
[2026-05-20T11:09:28.983Z] progress completed=1400/44304 last=5adec7925542995534e8c70d/rank_3 closure=1
[2026-05-20T11:09:43.402Z] progress completed=1500/44304 last=5a89d8d055429946c8d6e9df/no_support closure=0
[2026-05-20T11:09:57.983Z] progress completed=1600/44304 last=5a7cce4b554299683c1c6388/rank_8 closure=0
[2026-05-20T11:10:13.675Z] progress completed=1700/44304 last=5ac2a75755429967731025dc/rank_3 closure=1
[2026-05-20T11:10:28.372Z] progress completed=1800/44304 last=5a87572d5542994846c1cd6b/rank_last closure=0
[2026-05-20T11:10:41.517Z] progress completed=1900/44304 last=5ae020f5554299025d62a41b/rank_8 closure=1
[2026-05-20T11:10:56.024Z] progress completed=2000/44304 last=5ae34a225542992e3233c370/rank_3 closure=0
[2026-05-20T11:11:10.056Z] progress completed=2100/44304 last=5a87106555429960ec39b71f/rank_last closure=1
