[2026-05-20T16:08:36.900Z] REALRAG_R3B_START model=local-vllm endpoint=http://192.168.15.133:11435/v1/chat/completions limit=2000 conditions=bm25_top10,bge_rerank_top10,oracle_first,no_support
[2026-05-20T16:08:37.322Z] rerank_scores_loaded path=/home/aya/implante/research/turboquant-cuda-bench/bench/evidence-utilization-realrag-hotpotqa-r3b-natural-retrieval-2026-05-20/bge-rerank-scores.json selected=1991
[2026-05-20T16:08:37.361Z] selected_questions=1991 tasks=7964 pending=7964 already_done=0
[2026-05-20T16:08:53.129Z] progress completed=100/7964 last=5a7fc6e45542992e7d278d73/no_support closure=0
[2026-05-20T16:09:12.422Z] progress completed=200/7964 last=5a8cee9b554299441c6b9f87/no_support closure=0
[2026-05-20T16:09:29.763Z] progress completed=300/7964 last=5a7137dc5542994082a3e68a/oracle_first closure=0
[2026-05-20T16:09:46.079Z] progress completed=400/7964 last=5ac3a364554299391541385d/no_support closure=0
[2026-05-20T16:10:05.119Z] progress completed=500/7964 last=5a7d2b2b5542995ed0d1661b/oracle_first closure=1
[2026-05-20T16:10:23.429Z] progress completed=600/7964 last=5ae78d155542994a481bbd99/oracle_first closure=1
[2026-05-20T16:10:39.948Z] progress completed=700/7964 last=5ae6c0f35542991bbc97616f/no_support closure=0
[2026-05-20T16:10:57.454Z] progress completed=800/7964 last=5add64065542995b365fab25/no_support closure=0
[2026-05-20T16:11:17.048Z] progress completed=900/7964 last=5a777ca855429949eeb29e6a/no_support closure=0
[2026-05-20T16:11:35.049Z] progress completed=1000/7964 last=5a89d8d055429946c8d6e9df/no_support closure=0
[2026-05-20T16:11:52.553Z] progress completed=1100/7964 last=5a8b3de95542997f31a41cc3/oracle_first closure=0
[2026-05-20T16:12:11.473Z] progress completed=1200/7964 last=5a87572d5542994846c1cd6b/no_support closure=0
[2026-05-20T16:12:28.835Z] progress completed=1300/7964 last=5a80b322554299485f5986c8/oracle_first closure=0
[2026-05-20T16:12:45.577Z] progress completed=1400/7964 last=5a87106555429960ec39b71f/oracle_first closure=1
[2026-05-20T16:13:03.601Z] progress completed=1500/7964 last=5ab71a6a5542991d3222377c/oracle_first closure=1
[2026-05-20T16:13:22.602Z] progress completed=1600/7964 last=5ac508205542994611c8b32e/no_support closure=0
[2026-05-20T16:13:39.068Z] progress completed=1700/7964 last=5ac3dfee554299204fd21eab/no_support closure=0
[2026-05-20T16:13:55.891Z] progress completed=1800/7964 last=5a7337715542991f9a20c690/no_support closure=0
[2026-05-20T16:14:14.859Z] progress completed=1900/7964 last=5ac2610f55429951e9e68593/oracle_first closure=1
[2026-05-20T16:14:31.585Z] progress completed=2000/7964 last=5a84fd085542994c784ddaba/oracle_first closure=1
[2026-05-20T16:14:49.292Z] progress completed=2100/7964 last=5ae791cf55429952e35ea978/oracle_first closure=0
[2026-05-20T16:15:07.817Z] progress completed=2200/7964 last=5ab94bc2554299743d22eacf/no_support closure=0
[2026-05-20T16:15:25.639Z] progress completed=2300/7964 last=5adc0c2b55429947ff1738db/no_support closure=0
[2026-05-20T16:15:42.579Z] progress completed=2400/7964 last=5ade03c65542990dbb2f7f2e/no_support closure=0
[2026-05-20T16:16:01.422Z] progress completed=2500/7964 last=5a8f24cc55429924144829e7/oracle_first closure=1
[2026-05-20T16:16:18.210Z] progress completed=2600/7964 last=5abca6375542993a06baf946/oracle_first closure=1
[2026-05-20T16:16:35.169Z] progress completed=2700/7964 last=5a8e0b7f5542995085b373ae/oracle_first closure=1
[2026-05-20T16:16:53.134Z] progress completed=2800/7964 last=5a7dafe15542991319bc93f3/no_support closure=0
[2026-05-20T16:17:12.633Z] progress completed=2900/7964 last=5a7fa1b05542994857a7678e/oracle_first closure=0
[2026-05-20T16:17:31.317Z] progress completed=3000/7964 last=5a8563c05542997b5ce3fff4/no_support closure=0
[2026-05-20T16:17:49.852Z] progress completed=3100/7964 last=5ae794215542997ec27276a8/no_support closure=0
[2026-05-20T16:18:07.626Z] progress completed=3200/7964 last=5ae8295955429952e35eaa6d/no_support closure=0
[2026-05-20T16:18:26.154Z] progress completed=3300/7964 last=5a88e605554299206df2b39c/no_support closure=0
[2026-05-20T16:18:42.589Z] progress completed=3400/7964 last=5ab2acbc55429929539467d2/oracle_first closure=1
[2026-05-20T16:19:01.225Z] progress completed=3500/7964 last=5ab52cb2554299637185c4f1/no_support closure=0
[2026-05-20T16:19:20.414Z] progress completed=3600/7964 last=5a72b9155542992359bc3187/no_support closure=0
