[2026-05-21T00:38:32.969Z] REALRAG_R3K_START model=local-vllm limit=200
[2026-05-21T00:38:33.688Z] pack=200 pending=200 already_done=0
[2026-05-21T00:38:41.602Z] progress completed=25/200 last=r3k-0026/2wiki_natural_success_oracle_fail/correct
[2026-05-21T00:38:48.645Z] progress completed=50/200 last=r3k-0051/2wiki_bm25_only_success/correct
[2026-05-21T00:38:55.753Z] progress completed=75/200 last=r3k-0076/2wiki_all_support_conditions_fail/wrong
[2026-05-21T00:39:02.447Z] progress completed=100/200 last=r3k-0102/2wiki_natural_success_oracle_fail/correct
[2026-05-21T00:39:10.194Z] progress completed=125/200 last=r3k-0125/2wiki_bm25_only_success/correct
[2026-05-21T00:39:17.490Z] progress completed=150/200 last=r3k-0150/2wiki_all_support_conditions_fail/wrong
[2026-05-21T00:39:24.989Z] progress completed=175/200 last=r3k-0176/2wiki_bge_only_success/parse_error
[2026-05-21T00:39:32.368Z] progress completed=200/200 last=r3k-0200/2wiki_all_support_conditions_fail/wrong
[2026-05-21T00:39:32.647Z] REALRAG_R3K_DONE completed=200/200
