ts,model,config,benchmark,metric,value,kv_tokens,wall_s,status
1780859745,q4,fp16-tq,gsm8k,score,0.864,35184,89,OK
1780859802,q4,fp16-tq,humaneval,score,0.7195,35184,52,OK
1780860130,q4,fp16-tq,math,score,0.3986,97696,191,OK
1780860245,q4,tq-k8v4,gsm8k,score,0.858,216448,114,OK
1780860442,q4,tq-k8v4,math,score,0.3971,216448,197,OK
1780860501,q4,tq-k8v4,humaneval,score,0.6707,216448,59,OK
1780860652,q4,tq-k4v2,gsm8k,score,0.826,339008,133,OK
1780860905,q4,tq-k4v2,math,score,0.2786,339008,253,OK
1780860985,q4,tq-k4v2,humaneval,score,0.5854,339008,80,OK
1780861113,q4,fp16-kv,gsm8k,score,0.864,99824,99,OK
1780861280,q4,fp16-kv,math,score,0.4029,99824,167,OK
1780861330,q4,fp16-kv,humaneval,score,0.7134,99824,50,OK
1780862345,q4,kvarn-k4v2,gsm8k,score,0.838,410368,997,OK
1780862710,q4,kvarn-k4v2,humaneval,score,0.7256,410368,108,OK
1780862873,q7,fp16-tq,gsm8k,score,0.776,125776,145,OK
1780863100,q7,fp16-tq,math,score,0.3186,125776,227,OK
1780863135,q7,fp16-tq,humaneval,score,0.6463,125776,35,OK
1780863305,q7,tq-k8v4,gsm8k,score,0.756,267056,152,OK
1780863553,q7,tq-k8v4,math,score,0.2786,267056,248,OK
1780863587,q7,tq-k8v4,humaneval,score,0.628,267056,34,OK
1780863763,q7,tq-k4v2,gsm8k,score,0.766,401056,158,OK
1780864034,q7,tq-k4v2,math,score,0.1600,401056,271,OK
1780864065,q7,tq-k4v2,humaneval,score,0.5976,401056,31,OK
1780865434,q4,kvarn-k4v2,math,score,0.00,410368,279,OK
1780865784,q7,fp16-kv,gsm8k,score,0.774,123664,146,OK
1780866012,q7,fp16-kv,math,score,0.3186,123664,228,OK
1780866047,q7,fp16-kv,humaneval,score,0.6463,123664,35,OK
1780866081,q7,kvarn-k4v2,gsm8k,NA,NA,441088,11,EVAL_FAIL
1780866097,q7,kvarn-k4v2,math,NA,NA,441088,16,EVAL_FAIL
1780866108,q7,kvarn-k4v2,humaneval,NA,NA,441088,11,EVAL_FAIL
