ts,idx,label,pos,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T00:49:18-03:00,14,160K,p25,q8_0,turbo4,0, 66, 24564, 60, 32.53
2026-05-10T00:49:28-03:00,14,160K,p25,q8_0,turbo4,100, 21280, 24564, 73, 447.53
2026-05-10T00:49:38-03:00,14,160K,p25,q8_0,turbo4,100, 21382, 24564, 75, 448.62
2026-05-10T00:49:48-03:00,14,160K,p25,q8_0,turbo4,100, 21466, 24564, 76, 449.83
2026-05-10T00:49:59-03:00,14,160K,p25,q8_0,turbo4,100, 21540, 24564, 76, 449.20
2026-05-10T00:50:09-03:00,14,160K,p25,q8_0,turbo4,99, 21608, 24564, 77, 445.47
2026-05-10T00:50:19-03:00,14,160K,p25,q8_0,turbo4,100, 21670, 24564, 77, 446.24
2026-05-10T00:50:30-03:00,14,160K,p25,q8_0,turbo4,100, 21726, 24564, 77, 447.01
2026-05-10T00:50:40-03:00,14,160K,p25,q8_0,turbo4,99, 21780, 24564, 78, 444.45
2026-05-10T00:50:50-03:00,14,160K,p25,q8_0,turbo4,100, 21830, 24564, 77, 449.67
