ts,idx,label,pos,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T01:01:22-03:00,21,192K,p05,q8_0,q8_0,0, 66, 24564, 60, 48.59
2026-05-10T01:01:32-03:00,21,192K,p05,q8_0,q8_0,100, 23820, 24564, 74, 448.57
2026-05-10T01:01:43-03:00,21,192K,p05,q8_0,q8_0,100, 23922, 24564, 75, 448.77
2026-05-10T01:01:53-03:00,21,192K,p05,q8_0,q8_0,99, 24008, 24564, 76, 447.21
2026-05-10T01:02:03-03:00,21,192K,p05,q8_0,q8_0,100, 24084, 24564, 77, 448.40
2026-05-10T01:02:13-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 71, 219.02
2026-05-10T01:02:24-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 63, 169.95
2026-05-10T01:02:34-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 61, 155.21
2026-05-10T01:02:44-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 59, 141.40
2026-05-10T01:02:54-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 59, 140.15
2026-05-10T01:03:05-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 58, 139.90
2026-05-10T01:03:15-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 61, 133.55
2026-05-10T01:03:25-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 57, 133.14
2026-05-10T01:03:36-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 56, 126.71
2026-05-10T01:03:46-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 55, 132.03
2026-05-10T01:03:56-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 55, 125.77
2026-05-10T01:04:06-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 54, 122.62
2026-05-10T01:04:17-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 54, 119.91
2026-05-10T01:04:27-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 54, 119.69
2026-05-10T01:04:37-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 54, 119.31
2026-05-10T01:04:47-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 53, 118.58
2026-05-10T01:04:58-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 53, 121.78
2026-05-10T01:05:08-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 53, 123.10
2026-05-10T01:05:18-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 53, 118.37
2026-05-10T01:05:28-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 55, 117.83
2026-05-10T01:05:39-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 52, 116.93
2026-05-10T01:05:49-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 53, 122.62
2026-05-10T01:05:59-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 53, 122.11
2026-05-10T01:06:09-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 52, 116.53
2026-05-10T01:06:20-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 56, 117.55
2026-05-10T01:06:30-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 52, 116.13
2026-05-10T01:06:40-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 51, 116.07
2026-05-10T01:06:51-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 51, 116.31
2026-05-10T01:07:01-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 51, 114.99
2026-05-10T01:07:11-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 51, 110.31
2026-05-10T01:07:21-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 51, 114.92
2026-05-10T01:07:32-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 51, 115.07
2026-05-10T01:07:42-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 51, 114.52
2026-05-10T01:07:52-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 50, 114.37
2026-05-10T01:08:02-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 52, 109.32
2026-05-10T01:08:13-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 50, 109.68
2026-05-10T01:08:23-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 50, 109.39
2026-05-10T01:08:33-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 50, 114.39
2026-05-10T01:08:43-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 50, 110.04
2026-05-10T01:08:54-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 50, 108.65
2026-05-10T01:09:04-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 50, 109.14
2026-05-10T01:09:14-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 50, 108.52
2026-05-10T01:09:24-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 50, 113.95
2026-05-10T01:09:35-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 49, 107.88
2026-05-10T01:09:45-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 49, 108.05
2026-05-10T01:09:55-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 49, 107.42
2026-05-10T01:10:05-03:00,21,192K,p05,q8_0,q8_0,100, 24122, 24564, 49, 106.43
