ts,idx,label,pos,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T01:28:22-03:00,26,192K,p25,turbo4,turbo4,0, 66, 24564, 56, 19.23
2026-05-10T01:28:32-03:00,26,192K,p25,turbo4,turbo4,100, 22190, 24564, 71, 448.98
2026-05-10T01:28:42-03:00,26,192K,p25,turbo4,turbo4,100, 22292, 24564, 73, 448.81
2026-05-10T01:28:53-03:00,26,192K,p25,turbo4,turbo4,99, 22378, 24564, 74, 447.62
2026-05-10T01:29:03-03:00,26,192K,p25,turbo4,turbo4,100, 22452, 24564, 74, 449.88
2026-05-10T01:29:13-03:00,26,192K,p25,turbo4,turbo4,100, 22520, 24564, 75, 446.76
2026-05-10T01:29:24-03:00,26,192K,p25,turbo4,turbo4,100, 22582, 24564, 76, 448.54
2026-05-10T01:29:34-03:00,26,192K,p25,turbo4,turbo4,100, 22640, 24564, 76, 448.34
2026-05-10T01:29:44-03:00,26,192K,p25,turbo4,turbo4,100, 22692, 24564, 76, 450.69
2026-05-10T01:29:54-03:00,26,192K,p25,turbo4,turbo4,100, 22744, 24564, 76, 447.17
2026-05-10T01:30:05-03:00,26,192K,p25,turbo4,turbo4,100, 22792, 24564, 76, 444.38
2026-05-10T01:30:15-03:00,26,192K,p25,turbo4,turbo4,100, 22838, 24564, 76, 449.36
2026-05-10T01:30:25-03:00,26,192K,p25,turbo4,turbo4,100, 22902, 24564, 76, 447.95
