phase,axis,quant,candidate,composite,band,path_or_gtm_score,kld_score,mean_kld,full_match_rate,median_first_divergence,mean_prefix,mean_candidate_length,mean_reference_length,n_tokens_each,json
"smoke","Trajectory","q8/q8","ctk=q8_0,ctv=q8_0","100.0000","EXCELLENT","100.0000","100.0000","0.000000","100.00","","8.00","8.00","8.00","8","q4hybrid-smoke-trajectory-q8q8.json"
"smoke","Trajectory","q4/q4","ctk=q4_0,ctv=q4_0","94.4239","EXCELLENT","90.0000","99.3052","0.006972","86.67","1.5","7.20","8.00","8.00","8","q4hybrid-smoke-trajectory-q4q4.json"
"full","Trajectory","q8/q8","ctk=q8_0,ctv=q8_0","100.0000","EXCELLENT","100.0000","100.0000","0.000000","100.00","","111.30","111.30","111.30","128","q4hybrid-trajectory-q8q8.json"
"full","Trajectory","q4/q4","ctk=q4_0,ctv=q4_0","78.9272","DEGRADED","65.7047","98.8122","0.011949","53.33","18.5","72.10","109.73","111.30","128","q4hybrid-trajectory-q4q4.json"
"full","Trajectory","q8/q4","ctk=q8_0,ctv=q4_0","73.4502","DEGRADED","58.4188","98.8968","0.011093","43.33","17","64.53","110.47","111.30","128","q4hybrid-trajectory-q8q4.json"
"full","Trajectory","q4/q8","ctk=q4_0,ctv=q8_0","70.9314","DEGRADED","55.2523","99.0348","0.009699","36.67","20","62.77","113.60","111.30","128","q4hybrid-trajectory-q4q8.json"
"full","GTM","q8/q8","ctk=q8_0,ctv=q8_0","100.0000","EXCELLENT","100.0000","—","0.000000","100.00","","298.83","298.83","298.83","128","q4hybrid-gtm-q8q8.json"
"full","GTM","q4/q4","ctk=q4_0,ctv=q4_0","91.2590","EXCELLENT","91.2590","—","0.000000","60.00","246","271.10","297.07","298.83","128","q4hybrid-gtm-q4q4.json"
"full","GTM","q8/q4","ctk=q8_0,ctv=q4_0","92.0375","EXCELLENT","92.0375","—","0.000000","53.33","257","275.10","298.90","298.83","128","q4hybrid-gtm-q8q4.json"
"full","GTM","q4/q8","ctk=q4_0,ctv=q8_0","89.8830","PASS","89.8830","—","0.000000","56.67","262","268.90","299.17","298.83","128","q4hybrid-gtm-q4q8.json"
