system,model,axis,quant,composite,band,gtm_score,kld_score,full_match_rate,median_first_divergence,mean_prefix_agreement,file
"3090 27B","27B","GTM","q8/q8","95.9605","EXCELLENT","95.9605","","80.00","245.5","285.07","attnfix-27b-gtm-q8q8.json"
"3090 27B","27B","Trajectory","q8/q8","90.8302","EXCELLENT","83.4939","99.5799","73.33","44","86.67","attnfix-27b-traj-q8q8.json"
"3090 27B","27B","GTM","q8/turbo3","91.2703","EXCELLENT","91.2703","","63.33","248","271.83","attnfix-27b-gtm-q8turbo3.json"
"3090 27B","27B","Trajectory","q8/turbo3","72.6263","DEGRADED","57.3321","99.0491","36.67","49","60.60","attnfix-27b-traj-q8turbo3.json"
"3090 27B","27B","GTM","turbo3/turbo3","89.6792","PASS","89.6792","","50.00","243","266.47","attnfix-27b-gtm-turbo3turbo3.json"
"3090 27B","27B","Trajectory","turbo3/turbo3","72.4208","DEGRADED","57.3321","98.2886","36.67","49","60.60","attnfix-27b-traj-turbo3turbo3.json"
"4090 27B","27B","GTM","q8/q8","95.6541","EXCELLENT","95.6541","","83.33","227","283.93","4090-gtm-q8q8.json"
"4090 27B","27B","Trajectory","q8/q8","91.3656","EXCELLENT","84.3851","99.6051","73.33","63.5","87.37","4090-traj-q8q8.json"
"4090 27B","27B","GTM","q8/turbo3","90.9876","EXCELLENT","90.9876","","50.00","252","270.57","4090-gtm-q8turbo3.json"
"4090 27B","27B","Trajectory","q8/turbo3","73.0556","DEGRADED","57.9286","98.8750","46.67","23","60.03","4090-traj-q8turbo3.json"
"4090 27B","27B","GTM","turbo3/turbo3","89.1599","PASS","89.1599","","40.00","252.5","265.67","4090-gtm-turbo3turbo3.json"
"4090 27B","27B","Trajectory","turbo3/turbo3","72.8914","DEGRADED","57.9286","98.2758","46.67","23","60.03","4090-traj-turbo3turbo3.json"
"3090 32B","32B","GTM","q8/q8","93.8706","EXCELLENT","93.8706","","73.33","239","257.80","attnfix-32b-gtm-q8q8.json"
"3090 32B","32B","Trajectory","q8/q8","74.3143","DEGRADED","59.3229","99.4446","40.00","33.5","75.93","attnfix-32b-traj-q8q8.json"
"3090 32B","32B","GTM","q8/turbo3","88.8339","PASS","88.8339","","40.00","221","245.30","attnfix-32b-gtm-q8turbo3.json"
"3090 32B","32B","Trajectory","q8/turbo3","39.7322","FAIL","24.9469","97.5441","3.33","22","31.30","attnfix-32b-traj-q8turbo3.json"
"3090 32B","32B","GTM","turbo3/turbo3","81.8845","PASS","81.8845","","26.67","219.5","220.73","attnfix-32b-gtm-turbo3turbo3.json"
"3090 32B","32B","Trajectory","turbo3/turbo3","38.7205","FAIL","24.9469","86.4522","3.33","22","31.30","attnfix-32b-traj-turbo3turbo3.json"
